num,id,content
num,id,content
1,suger,活摘器官
2,a27588679,好像不錯，本來玩五天變八天
3,wt5566,"消費沒達標,導遊會給你翻白眼翻到死"
4,Tristanh,出國玩還要那麼累，實在沒必要
5,w3aki,放心景點不會少 因為少會被告但可能下去晃三分鐘就走 但購物站撐三小時
6,pinhanpaul,同路人
7,zxc17893,嘻嘻
8,atana,因為一嚇我 我就認你作爸了
9,r5566ex,但很多人是被你嚇大的
10,alau,但整個城市都是被你嚇大的
11,F93935,綁架默娘的男人
12,scores,廢話 通常你是嚇人的那個啊
13,scores,https://pse.is/N2NSP
14,orze04,胖子閉嘴
15,inmatao,因為他是嚇人的那個
16,jack21023,被中共收買了嗎
17,greedypeople,我都是負責嚇人那個
18,agersir,我都是負責嚇人那個
19,yang57,媽祖慈悲
20,kukuma,被你嚇大的
21,NgJovi,你想幹嘛
22,holywent801,樓上兩個在一起
23,alasdair,只有我嚇人沒人敢嚇我
24,pigk,罵幹你娘會海景第一排招待嗎？
25,crusaders811,平常都我在嚇人啊
26,mirza,向來只有俺嚇別人..
27,chibmw,https://i.imgur.com/nnEJEKA.jpg
28,peiring,我們才不是被嚇大的耶
29,snsdakb48,都是嚇別人長大的
30,HOYA0071,死胖子
31,andy02,看到這種的噓就好
32,lovetweet,大家都是被流氓嚇大的
33,bg00004,因為都是嚇別人的嗎?
34,brepus,顏敢嗆蔡 我想是因為工輔法跟宗教團體法民進黨都跟顏家站在一起吧～
35,brepus,dpp跟顏都挺工輔法
36,wa88,杜爛。
37,jo0913,都是嚇別人 我懂 XD
38,pttsad,這點他說的倒是事實
39,h311013,真的 很多人被你嚇大的
40,newhander,以上全是預約海景第一排名單
41,crossmyheart,我們是啊～聽～海哭的聲音
42,slimu0001,是呀，因為都你們在嚇別人，魚肉別人
43,wwpuma,靠媽祖斂財的黑道，讚！
44,yuchihsu,他都嚇人嚇到大
45,DFTT,嚇過我的齁 在那一排啦
46,hoberg,穩個屁，天龍人思維，小英再當四年，就是更多窮苦人家，低收只會再翻倍黑道？？！有蘇家在屏東黑嗎？？
47,hoberg,媽祖不會落選
48,hoberg,黑道有時對百姓更有義氣
49,hyuchi0202,好哦，我相信你是嚇人的 QQ
50,DarkerDuck,因為是他嚇別人嚇到大
51,querencia,死黑道
52,KCKCLIN,黑道囂張三小 幹
53,lovejiyeon,推文小心 珍惜生命==
54,G888888,敢嚇的都給他聽海
55,wwvvkai,怕
56,citima,嚇人嚇到大
57,PCcaduceus,死黑道
58,nokla2008,根本超越神的男人好嗎？默娘被嚇到窩在角落抖
59,tokyoto,這句話真有江湖味 難不成要把蔡英文做成消波塊嗎？
60,PPPGGG,推文真的好好笑XDDD
