num,id,content
1,jullei,你的發言水準很民進黨:)
2,alexrow,涂應該沒韓糟才對
3,dream99,一天到晚都在鬥柯，也不是這件事才如此
4,dream99,柯助選了一堆泛綠，也是被批鬥沒有台灣價值，做人真難啊，哈哈
5,iamsocool,比不爽不要投好多了吧...
6,heyjude1118,記得先道歉
7,jpg31415926,好了拉 不爽不要投
8,amego2017,https://youtu.be/RSxxFjY2lq4
9,tinmar,看推文柯粉崩潰就是爽不要臉的柯粉
10,Oisiossos,https://i.imgur.com/YQi9SSC.gif
11,allenpatrick,還好嗎菸糞 屁股沒擦乾淨？
12,mackyou,http://i.imgur.com/DZCOoiP.jpg 對手
13,takenostand,投了兩次給他，還捐了不少錢，然後現在才看清他?前柯粉起手式
14,CHY5566,民進黨自己也不提好的候選人啊 你看高嘉瑜那區就沒去亂啊
15,CHY5566,吳講的事民眾黨去實現然後要來黑柯？？
16,wendy1wang,綠共萬歲
17,lynchen,很多高雄番仔
18,Y1999,花東表示:
19,Gallardo,喝酒的時間都不夠了 還有時間參政?
20,astrayzip,才50萬人耶
21,elainakuo,他們只想要自治區
22,allenatptt,好吃懶做整天喝酒
23,larusa,通訊保障及監察法第七到第九條主要應該是以行為態樣來區分
24,aa55667878,說旺旺好溫暖的人 機會比較大喔
25,tagso,柯CF好像跟旺中吃了不少飯了
26,tagso,https://www.storm.mg/article/44726柯CF對於這個不報仇唷?
27,Oisiossos,https://i.imgur.com/d18Owmh.jpg
28,frankie30432,肯定會 國民黨追殺柯 柯粉早沒差了
29,dream99,你有聽說民進黨高層去見北京政協嗎？會不會哪天被綠營賣給中共？
30,MVPGGYY,連爺爺當年就是這樣啊，輸個幾次發現贏不了，就會開始去找其他力量援助了，找著找著就......
31,terminator3,選不上總統之後就會了
32,elainakuo,鍾小平都說484中國有柯的把柄不然為什麼那麼怕中國
33,lnceric008,去年dpp為了打柯連丁守中都可以支持
34,stocktonty,遲早啦 因為共產黨沒抹他器捐案很友善
35,KurtCobain,柯師父沒有核心價值，什麼事都可能看破生死，最後還是權力在手超越生死
36,sodes,沒聽過共產黨的三把槍嗎
37,a0988864,會哦！加入紅軍也算超越藍綠
38,revera1992,已經是了
39,lesserpanda,會民眾黨政黨票不行，柯又出來罵人衝聲量了
40,Delisaac,現在不就是了？
41,rayven,現在就是了，你還在用撥接嗎？
42,mithralin,沒有到失敗吧，起碼市容跟愛河變好了至於欠債那個就再說
43,saiyuki1412,其實我這幾年在高雄沒有覺得很失敗 不過空氣爛 馬路如虎口很可怕
44,s81048112,KMT老人都把DPP政績當成KMT做的了 笑死
45,devidevi,高雄哪邊失敗了，民進黨賺飽飽的
46,sading7,高雄先天上就與台北不能比 第一不是政經中心 第二高雄遠比台北大台北捷運只有兩條時運量也很差 是後來一直蓋才漸漸上來的
47,LouisTung,走了一個白海豚來了一個韓國瑜事實證明高雄這二十年的選擇是正確的
48,tony890415,就中央補助一堆 還可以欠一屁股
49,malisse74,只有你覺得失敗吧 原來台北以外的縣市不配有硬體
50,yuxds,不用跟台北比 跟台中比也輸台中
51,Gallardo,哪有失敗 沒看高雄幫DPP養了多少人
52,godog,執政失敗是事實 給推
53,hoanbeh,最慘的是好像也輸台南 有夠爛
54,t4i5m6,高捷一班車等超久 蚊子捷運膩？
55,lynchen,不是dpp失敗，是高雄人本身草包，影響城市發展高雄幾十年來被譏笑 南部人 鄉下人 南蠻，還是一樣擺爛不長進有本事的高雄人早就離開了，剩下低端草包高捷預估70萬人次現在20萬不到，代表高雄人素質跟不上
56,lynchen,高雄多爛看人就知道
57,elainakuo,愛河以前就是靠謝政治 那些國民黨老人說吳 他媽的垃圾
58,yun0112,等過機捷後我就知道高捷的好了XD
59,yun0112,馬上有人被地圖砲掃到XDD
60,mxr,高雄男人的問題 水準堪比支那人
61,ghghfftjack,發展失敗是事實 但是選擇沒有失敗因為另一邊的選擇爛到流膿高雄就是最倒楣的
62,frankie30432,哪有多倒楣講的高雄多爛到底去過幾次
63,ZeroArcher,在地高雄人，從小看到大，民進黨就是噁心再噁心
64,akai324,笑死 台北人眼光看
65,orzooozro,民進黨非常痛恨韓國瑜啊！本來高雄可以當嘴上肉好好的啃食，結果莫名奇妙被韓國瑜當上市長，什麼好處都在也拿不到了，當然要把韓國瑜滅掉
66,stocktonty,可以嘴啊 那你說看看誰能來救高雄
67,stocktonty,民進黨叫爛的話 KMT叫爛得可怕
68,als8855,推
69,viclin1982,問題是韓導解決不了阿斗睡菊的爛攤子就算了，還完全沒心在市政上，國民黨看起來應該又要20年拿不回高雄啦
70,neiger,人口一直流失，薪資一直拉不起來，這叫第二直轄市？
71,ganninian, https://i.imgur.com/q3erNMt.jpg
72,iele,沒有建設都不會欠債
73,uno1944,廢話一堆 柯的施政滿意度只贏韓 才是可恥
74,qep,吳敦義那時的高雄跟現在改變了多少，倒是有人選上沒多久之後就請假，高雄這一年來有啥改變嗎
75,mikiup0321,老實說韓國瑜比陳其邁爛，但還是不能改變高雄執政很爛的事實。只會扯柯的執政滿意度？那預算執行率怎麼不敢提？
76,sheekat,被台中超車的部分，芒果乾多好吃啊
77,intotheman,民進黨欠高雄人一個道歉
78,baconcsie,我看陳其邁執政也是一樣爛，看看陳的過往紀錄，講過的話，而且他也是資進黨的，大概也是延續睡菊，繼續同流合污DPP爛，KMT也爛，兩陀屎在那邊
79,kent4302,民進黨不會反省 嘴這麼多也沒用
80,dannyzzz,民進黨是高雄的阿爸，爸爸怎樣都是對的，必須挺
81,curtismaniac,希哥幫民進黨拉票？
82,takeda3234,太棒了（？）
83,tim1112,那很好啊 反正我本來就支持台獨
84,tim1112,本來就不想跟支那貿易
85,mattaus,反年改大師本來就是為反而反
86,phHAR,來助選的？
87,phHAR,獨立跟互斥都分不清楚 護航仔先去學個數學好嗎
88,phHAR,氣喔 你跟萊西一句邏輯狗屁不通的話這麼認真幹嘛
89,TaiwanUp,賴清德說早就獨立了 沒必要再宣布獨立
90,FK6819,不錯！好啊
91,clydebbman,來西臥底這麼久了 終於阿
92,leon771170,這咖和高級外省人加入不分區裡 那真完美的天怒人怨的不分區
93,weight0513,不錯喔 幫民進黨拉票
94,bluenan,想去給中國幹，馬上就可以出發了
95,DFTT,87嗎 正常應該要加一句:之後阿共會打過來
96,if2,好吧 只好投了
97,paladin90974,等等 民進黨不是說現在就已經是獨立
98,cloudeda,超棒der
99,aaa1124078,太棒了 讚讚讚
100,MrSuperLP,非常好
101,ecat,幹你娘母豬稿台獨 有種斷ECFA不要跟祖國貿易
102,u123454321,謝謝來希哥鼓勵，決定永遠支持民進黨執政
103,ileva3324,終有一天你的年金會正常
104,pita30,統一之後美國也會打過來阿，KMT沒跟你講嗎
105,eterbless,除非美國情報單位完全失能 不然統一還獨立基本上都不會由台灣主動發生
106,handfoxx,我以為要說破產之類更嚴重的 原來是助選
107,coollonger,那我還不投爆DPP
108,johnny9667,那還不投爆
109,starport,好...好像還不錯....  既然來c都認證了那我還不投爆
110,bubblewn,所以到底台灣要跟誰獨立 我們他媽的本來就是一個國家
111,Myfun,那一定投小英
112,jerrylin,嗯?  台灣超級親美派ㄟ
113,Yamapi5566,真假 那我更要投
114,iatb,那只好投民進黨了
115,jesiuty,兩邊網軍打手槍很爽啊 跟著三立斷句斷起來 敵人在諷刺你 獨立於世界之外 成為個體戶 這樣也能狂抽猛送精盡人亡 會不會太敏感早洩啊李來希今（12）日表示，「如果民進黨繼續執政，終有一天台灣會獨立，獨立於世界之外，成為全球唯一的個體戶 這句話值得高潮噴射嗎？
116,jesiuty,貼圖仔被桶不怕啊？ 當人智障洗腦法 會不會吃飽太閒
117,jesiuty,萊西在尻卸你們也能推爆 真的比狗還不如
118,jesiuty,你確定這句話是在說你的獨立？萊西會說台獨？把中華民國當國家 再來看這句話有何問題？小學國文都沒畢業  不要跟人家談數學
119,CharleneTsai,可…可惡 聽起來真讚 根本催票
120,logitech2004,那太棒了
121,kenny0111,你沒入不分區太可惜了
122,LiangNight,這樣太棒了
123,weiber29,https://i.imgur.com/3jKVj8u.jpghttps://i.imgur.com/RIU1HYQ.jpghttps://i.imgur.com/gsy540i.jpg世上那個國家不是獨立？智障韓粉才想跟中共統一吧
124,sd810305,來C你在高雄買房子沒? 韓市長都當選超過一年了
125,jack0216,好吧我政黨票改投民進黨
126,takuminauki,在幫忙拉票嗎XDD
127,tavern,這在助選吧
128,upeo,靈犬來吸噁心 最愛賣芒果乾的族群
129,aph860212,OK只好投了
130,HaHaPoint,希哥是對的 XD
131,squall410339,那當然投民進黨啊白癡
132,ohya111326,那只能支持了XDD
133,stocktonty,柯粉:不可能啦!騙票啦!
134,southes,很好
135,zzs123344,不錯欸來西想篡位台獨教父？
136,wendyayu,助選？？
137,LAPDSWAT456,感謝信心加持
138,elainakuo,感謝 希望我死前能看到
139,nightyao,要台獨就支持賴清啊！本來是就選跟自己理念相近的候選人了
140,oscarwu3041,若國民黨繼續執政，終有一天台灣會被統一
141,min66810,好喔，那就繼續支持
142,americ,看有沒有截圖領1萬囉
143,nnkj,新來的菜鳥你好
144,nnkj,不是看登入次數 你如果有常來政黑就不會回文
145,nnkj,本板有四天王 T k a o n
146,paladin90974,因為是挺綠不是挺柯啊 傻傻的
147,paladin90974,你可以想一下有藍軍不投韓的原因這些知識藍很綠對不對? 都不投韓到底是姚太爛 為了拉下丁 還是挺柯?一堆人投英 是因為挺綠?票投給你就是挺你 這想法有夠直
148,quisk,2014、15我是柯黑。剛好相反哈哈
149,andy02,你知道你回ㄧ個反串的文嗎？
150,negatron,每隻都只會說我反串，卻說不出哪裡反串
151,negatron,本板不歡迎自介 A_A
152,negatron,說我反串的沒一個說出我哪裡反串
153,eterbless,那些人哪邊不幫姚 一堆在喊寧可讓丁上
154,cutbear123,2014限定柯粉在此 2015就脫粉 2018轉黑
155,a1223356,網軍=事實。楊買網軍=事實。網軍挺綠=事實。網軍領一萬=事實。以上破解。
156,a1223356,也有人投柯也投蔡啊，你什麼時候當剩下的九人代表了？你誰？
157,james114,你就沒辦法反駁dpp買網軍的事實阿，在那邊543
158,didder,網軍真凶
159,yamitis,無聊到回個反串的？
160,eyeter,我就是前78柯粉 五年資歷
161,diyaworld,今年柯粉轉柯黑+1，柯糞吃屎啦
162,bom30433,補血  同感 柯糞吃屎
163,jing0607,不錯，這篇是我要的，我正統柯憤辣，我來告訴妳，民眾黨不是藍的，也不是小黨，是第三勢力新興政黨，準備取代國民黨成為第一反對黨，在野黨有好法案會支持，包含國民黨，國民黨候選人也是可能支持的，民進洞的候選人是領先者，當然不用我柯支持，所以，企圖將我柯劃成藍的，尤其把柯與韓劃一起，最符合民進洞利益，另外一面發動滅時力，一面利用我昌來訴說投時力比民眾好，其用心歹毒，昭然若揭，時力與民眾通通弱化成不到5趴小黨，然候誰得利受益？是老英底下搞錢搞利益的，老英豈能不知？可這是結構性問題，綜上，請大家支持我柯，我台灣郎不用忍受台面上政客的假貨愚民政黨，我柯民眾黨壯大後，四年候當選總統，將這一干貪官污吏通通送進牢房，豈不快哉？
164,lf719000, https://i.imgur.com/4lSL5NK.jpg
165,njnjy,KMT選情看有沒有去站路口就知道了費鴻泰最近狂做薑餅屋 跑馬拉松以前根本躺著選
166,njnjy,這大嬸根本是紅統派
167,njnjy,江啟臣上次差點被幹掉
168,njnjy,國民黨也在喊總統會贏啊 人家立委不能喊?
169,indium111,沈智慧那區? 不可能吧，這裡翻車國民黨台中全滅這區是沈智慧躺著選的
170,crazypeo45,有趣了
171,crazypeo45,這區看起來也不會是關鍵少數作亂啊
172,crazypeo45,幹 民眾黨又出了一個背刺仔
173,crazypeo45,補選比基本盤啊 大選還有中間選民因素
174,madeofhonor,很難
175,phHAR,這區難啦 不過這次派的這位屌打王e///
176,lepidoptera,難啦 看輸多輸少而已
177,apple00,舔共照投啦 翻轉個屁
178,dy2012,莊的學經歷狂說沒智慧吧
179,leon771170,難說喔 之前這是黑燕長期經營的 沉智慧又沒打底過而且舔韓屎尿舔那麼厲害 不知選票如何
180,weight0513,怎可能 K黨有糟成這樣
181,thouloveme,推民眾黨謝文卿
182,thouloveme,想到沈小姐繼續在國會 頭就很痛
183,js255076,台中市政做成這樣，當然難選
184,yaoyaopy,這區如果國民黨贏不了 那全台區域立委會全倒吧...
185,lwt501cx,樂見 舔韓的輸一輸也好雖然不希望K黨的立委輸太慘，但舔韓的就例外了，最好去死
186,Yamapi5566,這區省智慧輸了民進黨絕對過四分之三
187,jasonyen123,聽說連魯明哲都差5%了 不意外 藍營投票率很低的下場
188,jack0216,不可能吧==雖然省智慧下去一定很爽
189,nanachi,真的假的
190,z23061542,現在都不太準 但看站路口就知道急了
191,z23061542,藍有票但投不出來真的會死很慘
192,bibi6668,這區沈不會輸啦上次補選投票率低，沈都能贏了
193,gogoto990,有夢最美
194,MisuzuXD,直接推舔共仔找死啊 當初還把別人斷指拿去開記者會 老兵應該也很討厭吳思懷吧
195,southes,狗黨都倒
196,EggAcme,我覺得不太可能吧
197,extrachaos,年輕人又不回家 就算回家是投柯 等著看中彰投國民黨大勝 笑死你們不要在幻想了
198,giantwinter,艱困
199,luckymore,催票而已啦
200,dragonjj,看看就好我覺得都是催票的
201,sauchi39,想太多 沈智慧超穩
202,goldenfire,加油
203,zxc70227,補選沈贏20% 靠返鄉補不回來 只少要有個5~6%轉投才有機會扳平
204,oncemore,不太相信  如果是這樣3Q應該領先了
205,ppc,自己喊爽的
206,sse,唬很大
207,atpx4869s,讚！這次翻轉台中有機會
208,william7713,民進黨每個都在喊只差一點是怎樣..
209,william7713,DPP現在是精神勝利法嗎 先喊先贏新竹 新北 台中 台北每個都在喊
210,playtrunk,https://reurl.cc/b6g2yX寧可投謝文卿
211,yevvi,講這種鬼話誰會相信
212,Beanoodle,到底幾個頭目拉
213,a520,噓起來，做業績開始
214,gooho,什麼年代一直在網軍都蔡賴配了，沒別的嗎？加油好嗎？
215,iPenis,網軍都會說這邊沒網軍
216,hypoge,難道網軍自己會承認嗎
217,onetwo01,洪耀福
218,americ,看有沒有被檢察官起訴就知了
219,bluenan,對台灣不利的都有人狂洗
220,bluenan,有人說韓是共諜? 頂多是鄉民在酸而已洗詐欺犯小咖的可是快百篇呢 還搜得到
221,rx178mk2,我看到的都是韓國瑜被洗成首支那資助的共諜，平行時空嗎晚上爆文不是有九萬嗎？先去休息，晚點再來洗風向吧
222,iPenis,我懷念討論卡神的時候
223,a1223356,你領了多少？
224,cal629195,解放軍在上海一個大樓美國曾查出駭客ip都是從上海這解放軍大樓出現對台工作最少1/3業務與解放軍有關
225,DANANPA,是說政黑最近清晨常常會爆出一堆挺韓柯文
226,njnjy,大大的 難怪戴錫欽會暈船
227,u5710587,噗嗤 瓜及跟林非凡站在一起我還以為他是什麼新政治勒瓜及現在是不演了是嗎有沒有人看得懂瓜及在幹嘛他賭爛韓所以要跟林飛凡站在一起？這邏輯怎麼推的
228,rustic5566,唱歌撐香港囉 菸粉還不來撐
229,js255076,呱吉就賭爛韓阿有啥問題
230,omanorboyo,戴錫欽吃完就溜了 不黏牙 真爽
231,gooho,who cares
232,leon771170,爬上病床的老查某
233,kadolong,支持小英 撐香港挺自由
234,predo,笑死人 有夠噁心
235,CGUNGUN,柯糞又要崩潰了
236,mrtatami,羨慕戴錫欽
237,pppyy,支持啊 北捷跟悠遊卡不該綁在一起 拿了中央多卡通補助本來就該開放 不用考慮悠遊卡
238,pppyy,高捷當時才剛拿到補助 正在建置中啊 弄好就直接開放4種票證都能用了北捷哪裡吃虧?北捷是北捷 悠遊卡是悠遊卡
239,pppyy,捷運跟票證根本不該綁在一起 多卡通是中央的政策也是中央的補助 拿了補助就該好好執行政策 其他票證來申請就看他合不合資格合的話就開放 不用管悠遊卡 不然有錢卡有開條捷運給悠遊卡通嗎 沒的話那有錢卡不就不能開放
240,pppyy,之後還是有可能會有其他票證想申請 難道都要他們弄點什麼給悠遊卡才讓他們進北捷?
241,pppyy,有一開始北捷只領單閘門的多卡通補助 所以只開放一個閘門讓其他票證也能用 後來才領全閘門的補助 高捷是直接領多閘門補助
242,pppyy,領了補助 建置完就開放多卡通啊
243,pppyy,輕軌真的亂搞 加值系統看起來是很舊的東西
244,quisk,柯P的就吳三桂啊。自己想辦法收尾吧。爛政策，廢的有剩
245,quisk,問題是根本沒照合約走，沒有平等互惠。北捷吃很大的虧知道嗎？
246,bluenan,悠遊卡要自立自強啊! 巴著北捷爽當飯桶嗎
247,Oisiossos,嘴北市補助多的，都不會嘴北市繳稅多
248,Oisiossos,雖然一卡通在linepay之前是垃圾，但linepay之後便利性領先
249,Oisiossos,http://bit.ly/2syfqmX高捷態度惡劣，一卡通該封殺
250,a1122334424,竟然卡電子支付 那個流 卡柯 壞！
251,u5710587,一卡通從來不用的 都用正統悠遊卡為什麼要讓外縣市轉台北的錢
252,sd810305,悠遊卡自己要搞自己的支付方式，搞不起來，一卡通乖乖的先去申請電子支付，line跑去合作，怪誰
253,kenshin333,要扯繳稅？那臺北要不要公平一點把金融中心放出去啊？因為KMT刻意把資源都灌在臺北還拿翹呢？論地理氣候有臺中好？論港口腹地有高雄好？
254,kenshin333,我是在回Ois 你說的事件我一樣覺得陳菊不厚道
255,kenshin333,不過悠遊卡在經營上真的被一卡通屌打
256,kenshin333,捷運是其次，主要是line pay太傷
257,re340,柯意志：黨在台北 只能台北好 鄉下要有鄉下的樣子
258,globeMIX,一卡通一開始也只有開放幾個閘門而已很小氣
259,globeMIX,其實高捷之於北捷 晚開放早開放其實對於悠遊卡衝卡量來說  其實影響不大吧 高捷搭乘人數沒有北捷那麼高 小市場而已
260,globeMIX,只是一卡通在保有自己的立足之地
261,lpbrother,不是連勝文連董先推的嗎?
262,eterbless,記得輕軌還一堆人在那邊護航
263,lnceric008,當初k版主還裝柯粉在那邊嗆
264,elainakuo,支持啊 因為悠遊卡很跩
265,logitech2004,阿扁學法律的，還不知道標準嗎，好了啦阿扁一介戰神淪落至此
266,berryc,"因為阿扁服刑中,還不算更生人"
267,totenkopf001,過氣政客
268,bluenan,阿扁歸阿扁，不要牽拖鄰居
269,leon771170,更生人與戴罪服刑（保外就醫）之差別 這很民粹
270,nightyao,一個服完刑，另一個還在服刑中，法治精神沒有嗎？
271,curtismaniac,希哥幫民進黨拉票？
272,takeda3234,太棒了（？）
273,tim1112,那很好啊 反正我本來就支持台獨
274,tim1112,本來就不想跟支那貿易
275,mattaus,反年改大師本來就是為反而反
276,phHAR,來助選的？
277,phHAR,獨立跟互斥都分不清楚 護航仔先去學個數學好嗎
278,phHAR,氣喔 你跟萊西一句邏輯狗屁不通的話這麼認真幹嘛
279,TaiwanUp,賴清德說早就獨立了 沒必要再宣布獨立
280,FK6819,不錯！好啊
281,clydebbman,來西臥底這麼久了 終於阿
282,leon771170,這咖和高級外省人加入不分區裡 那真完美的天怒人怨的不分區
283,weight0513,不錯喔 幫民進黨拉票
284,bluenan,想去給中國幹，馬上就可以出發了
285,DFTT,87嗎 正常應該要加一句:之後阿共會打過來
286,if2,好吧 只好投了
287,paladin90974,等等 民進黨不是說現在就已經是獨立
288,cloudeda,超棒der
289,aaa1124078,太棒了 讚讚讚
290,MrSuperLP,非常好
291,ecat,幹你娘母豬稿台獨 有種斷ECFA不要跟祖國貿易
292,u123454321,謝謝來希哥鼓勵，決定永遠支持民進黨執政
293,ileva3324,終有一天你的年金會正常
294,pita30,統一之後美國也會打過來阿，KMT沒跟你講嗎
295,eterbless,除非美國情報單位完全失能 不然統一還獨立基本上都不會由台灣主動發生
296,handfoxx,我以為要說破產之類更嚴重的 原來是助選
297,coollonger,那我還不投爆DPP
298,johnny9667,那還不投爆
299,starport,好...好像還不錯....  既然來c都認證了那我還不投爆
300,bubblewn,所以到底台灣要跟誰獨立 我們他媽的本來就是一個國家
301,Myfun,那一定投小英
302,jerrylin,嗯?  台灣超級親美派ㄟ
303,Yamapi5566,真假 那我更要投
304,iatb,那只好投民進黨了
305,jesiuty,兩邊網軍打手槍很爽啊 跟著三立斷句斷起來 敵人在諷刺你 獨立於世界之外 成為個體戶 這樣也能狂抽猛送精盡人亡 會不會太敏感早洩啊李來希今（12）日表示，「如果民進黨繼續執政，終有一天台灣會獨立，獨立於世界之外，成為全球唯一的個體戶 這句話值得高潮噴射嗎？
306,jesiuty,貼圖仔被桶不怕啊？ 當人智障洗腦法 會不會吃飽太閒
307,jesiuty,萊西在尻卸你們也能推爆 真的比狗還不如
308,jesiuty,你確定這句話是在說你的獨立？萊西會說台獨？把中華民國當國家 再來看這句話有何問題？小學國文都沒畢業  不要跟人家談數學
309,CharleneTsai,可…可惡 聽起來真讚 根本催票
310,logitech2004,那太棒了
311,kenny0111,你沒入不分區太可惜了
312,LiangNight,這樣太棒了
313,weiber29,https://i.imgur.com/3jKVj8u.jpghttps://i.imgur.com/RIU1HYQ.jpghttps://i.imgur.com/gsy540i.jpg世上那個國家不是獨立？智障韓粉才想跟中共統一吧
314,sd810305,來C你在高雄買房子沒? 韓市長都當選超過一年了
315,jack0216,好吧我政黨票改投民進黨
316,takuminauki,在幫忙拉票嗎XDD
317,tavern,這在助選吧
318,upeo,靈犬來吸噁心 最愛賣芒果乾的族群
