id,amount,contentIDs
abomgo,99,"858,1095,2051,2168,2540,3656,4959,6797,7395,9433,10236,10745,11595,14333,14417,15757,17504,17571,19677,20892,20893,22116,24069,24164,24275,38458,40316,42923,43581,44609,52297,52496,52530,53490,53873,54186,54296,54455,55296,56444,57654,57841,60940,61762,62995,63438,63462,63568,63686,63877,64188,64216,64238,64426,64645,64768,64880,64940,65101,65512,68993,70993,71039,72263,72501,72643,72730,73561,73959,75963,85499,85604,93667,96790,97803,102997,117835,119289,119724,120515,121035,121738,122010,126986,127254,127899,130918,138476,141870,149138,151063,151460,151963,154859,156641,156963,157144,157373,158744"
neiger,99,"1040,2954,6314,8763,9974,10278,10496,10579,11791,12624,12977,13068,13323,13540,14103,14419,14846,31756,36738,51646,52406,52407,61202,71569,72111,73677,73678,74094,74833,74869,75122,80118,80567,81684,95530,96267,97073,97680,101848,101922,101923,101924,101925,101926,101927,102624,102907,115436,115437,115948,115949,117244,118564,118932,119061,119062,119441,121598,121599,121600,126795,133523,133719,134323,136483,136571,136572,136863,136864,137006,137007,137062,137679,137886,138030,142161,142435,142547,142630,142631,142632,142633,142915,142956,143121,143300,143391,144042,144043,144248,144833,145736,148374,148375,148376,153024,166599,167143,167367"
Kyameron,99,"1054,1268,3885,6615,7076,7463,10811,11867,12432,34382,34448,35191,36307,36459,40138,44018,44699,45034,60835,64511,65251,65356,65420,65533,67406,68822,68823,70143,73359,74156,74157,74620,75041,75226,75227,79286,86724,86725,86726,86727,87752,88135,88136,92822,97839,97986,98463,98666,99368,111046,112110,112111,112155,113931,115388,129360,129930,130105,130496,130669,131389,131836,131974,132338,132458,132972,132973,133096,133097,133098,133099,133100,133635,135001,135002,136039,136249,136948,147117,147118,147119,147120,148351,148872,152246,152605,153059,154717,155056,156066,156067,156068,156069,156070,164829,164830,165377,165437,165504"
hume,99,"1216,17766,18516,27448,27707,28044,29066,31370,32084,32470,32565,32796,53246,60404,60626,60627,60628,60629,60701,61529,61688,61758,63967,64185,64236,64715,69431,71415,71520,71637,71658,71934,71979,72114,72611,73032,73503,75135,84085,85347,89447,89590,93684,93995,95641,96771,96797,97628,98007,98073,98163,98761,106277,107768,108257,108351,111323,111914,114855,116442,116547,117461,118786,126919,128419,128738,130566,131617,138369,141821,142283,142426,145055,145343,148837,149250,149807,149808,150114,150115,150116,150117,151879,151896,153025,157926,158710,158711,158954,159306,161209,164926,164927,164928,165150,165159,165418,165486,166725"
Delisaac,99,"1499,5401,5869,9678,12111,12725,13382,14163,14164,14414,14533,15042,15646,16771,16772,16773,16774,16775,16776,16777,17229,24156,27188,39741,39799,39800,49663,49992,50557,54073,54074,54075,54076,54174,55926,57214,59009,72633,74074,74159,74180,74292,74592,74808,74838,75165,75166,75167,75168,75222,76445,76664,76665,76728,82150,82312,83147,92368,94077,95317,95868,95869,96265,98372,98373,100062,100414,101584,102306,102499,103281,104747,105067,105772,106348,106683,106999,107225,116468,116970,120795,123047,123048,124709,125361,125362,126400,136479,139408,142334,142846,144380,146132,147812,149619,149981,160573,160808,164326"
plutox,99,"11281,12344,13136,13234,16427,16438,16453,17631,19307,19733,19962,20290,20402,20403,20404,21160,22819,22952,23106,23199,24813,25931,26174,26713,26729,27227,30387,32937,33269,39479,39916,40514,45391,45438,45556,45790,46640,47195,47557,47775,48054,48795,49055,57790,57872,58222,58298,58312,58388,58670,58812,59331,66312,66972,67807,67821,68577,73161,73508,73901,76203,79498,80158,80292,80313,80639,80667,94259,95690,97614,97645,97850,101690,101691,101805,101806,101807,101808,101809,101827,101828,101859,101880,102164,102372,102546,102553,103147,103183,103196,103202,103546,103613,104469,104470,104471,105595,106373,107402"
shenmue1001,98,"224,727,1401,1753,2824,2907,3082,3083,3780,4548,5856,6243,7354,9045,12524,20273,23419,32877,33335,34118,53624,61632,61749,65087,65088,65169,65170,71476,72160,83881,85473,86626,87167,87524,89218,89436,89762,90007,90282,90283,90284,90285,93463,93862,96106,98641,99286,102019,103680,106189,106975,107261,107380,107381,107514,107650,107666,108010,108227,121824,129902,133617,134219,134220,134318,134741,138147,138523,140375,140431,140933,141024,141529,142298,144283,149809,151426,151427,151928,152533,152816,154078,156950,157886,158127,158331,158558,158941,158986,159369,159473,159474,159475,160121,160264,161165,161464,161500"
skylion,98,"3809,17056,17841,19341,21802,22853,22900,24643,27933,29778,41741,43588,51754,52203,52534,52600,54844,54845,55167,56033,56034,56535,56927,57666,58661,66877,76107,76215,76277,77079,77428,78725,80424,81574,81965,82364,82365,82366,82367,82387,86751,87121,90213,94466,94964,95441,96817,100121,100371,100952,100957,102909,103641,105574,111134,122935,124347,129919,130389,130675,136913,137288,137289,137498,138370,140906,142108,146441,146442,150097,150101,151183,152070,153908,155073,155110,156931,160978,161003,161263,161523,161524,162467,162468,162469,162533,163167,163168,163321,164787,165658,165717,165774,165775,165776,165799,166243,167368"
laman45,98,"11368,13919,14145,14146,14771,15151,17469,17495,18381,18503,19722,20144,20288,21330,21958,22951,23862,24940,28842,28995,37369,45270,48236,48237,48238,48716,49451,49685,50619,50905,51186,51187,51188,51189,51190,51191,51192,51193,51313,51314,51508,51509,51510,51511,51512,51513,51514,51515,51516,51517,51518,51519,51520,52106,52429,54416,56150,56151,63150,63305,65957,71606,72108,72506,75636,77911,90270,90670,91729,92773,93142,93143,93144,94241,94653,94850,94938,95994,96507,99369,107848,108065,108112,117571,122635,122671,122926,134654,135459,136626,137388,150418,150627,150843,150911,152114,155039,158380"
jump9128,98,"18509,18680,23268,23675,39619,39684,53387,53453,54515,68093,70296,70393,70488,71207,71496,71971,78525,78548,79198,85932,86010,87741,88831,90424,91369,92754,94876,96843,98004,100681,101284,104094,104200,106171,107629,110045,110503,110967,111430,111487,111520,112208,112596,113030,113153,113616,114223,114526,115084,115977,117629,117769,118055,118372,118777,121749,122614,122717,133505,133854,135504,135642,135729,137799,137933,138027,138434,139735,139916,140209,140981,148911,149058,149279,149294,149582,149885,150439,150970,151380,152850,153489,154152,156496,157352,157795,158187,158889,159009,159197,159198,159330,159351,159352,165337,165382,165673,165886"
