num,id,content
1,curtismaniac,希哥幫民進黨拉票？
2,takeda3234,太棒了（？）
3,tim1112,那很好啊 反正我本來就支持台獨
4,tim1112,本來就不想跟支那貿易
5,mattaus,反年改大師本來就是為反而反
6,phHAR,來助選的？
7,phHAR,獨立跟互斥都分不清楚 護航仔先去學個數學好嗎
8,phHAR,氣喔 你跟萊西一句邏輯狗屁不通的話這麼認真幹嘛
9,TaiwanUp,賴清德說早就獨立了 沒必要再宣布獨立
10,FK6819,不錯！好啊
11,clydebbman,來西臥底這麼久了 終於阿
12,leon771170,這咖和高級外省人加入不分區裡 那真完美的天怒人怨的不分區
13,weight0513,不錯喔 幫民進黨拉票
14,bluenan,想去給中國幹，馬上就可以出發了
15,DFTT,87嗎 正常應該要加一句:之後阿共會打過來
16,if2,好吧 只好投了
17,paladin90974,等等 民進黨不是說現在就已經是獨立
18,cloudeda,超棒der
19,aaa1124078,太棒了 讚讚讚
20,MrSuperLP,非常好
21,ecat,幹你娘母豬稿台獨 有種斷ECFA不要跟祖國貿易
22,u123454321,謝謝來希哥鼓勵，決定永遠支持民進黨執政
23,ileva3324,終有一天你的年金會正常
24,pita30,統一之後美國也會打過來阿，KMT沒跟你講嗎
25,eterbless,除非美國情報單位完全失能 不然統一還獨立基本上都不會由台灣主動發生
26,handfoxx,我以為要說破產之類更嚴重的 原來是助選
27,coollonger,那我還不投爆DPP
28,johnny9667,那還不投爆
29,starport,好...好像還不錯....  既然來c都認證了那我還不投爆
30,bubblewn,所以到底台灣要跟誰獨立 我們他媽的本來就是一個國家
31,Myfun,那一定投小英
32,jerrylin,嗯?  台灣超級親美派ㄟ
33,Yamapi5566,真假 那我更要投
34,iatb,那只好投民進黨了
35,jesiuty,兩邊網軍打手槍很爽啊 跟著三立斷句斷起來 敵人在諷刺你 獨立於世界之外 成為個體戶 這樣也能狂抽猛送精盡人亡 會不會太敏感早洩啊李來希今（12）日表示，「如果民進黨繼續執政，終有一天台灣會獨立，獨立於世界之外，成為全球唯一的個體戶 這句話值得高潮噴射嗎？
36,jesiuty,貼圖仔被桶不怕啊？ 當人智障洗腦法 會不會吃飽太閒
37,jesiuty,萊西在尻卸你們也能推爆 真的比狗還不如
38,jesiuty,你確定這句話是在說你的獨立？萊西會說台獨？把中華民國當國家 再來看這句話有何問題？小學國文都沒畢業  不要跟人家談數學
39,CharleneTsai,可…可惡 聽起來真讚 根本催票
40,logitech2004,那太棒了
41,kenny0111,你沒入不分區太可惜了
42,LiangNight,這樣太棒了
43,weiber29,https://i.imgur.com/3jKVj8u.jpghttps://i.imgur.com/RIU1HYQ.jpghttps://i.imgur.com/gsy540i.jpg世上那個國家不是獨立？智障韓粉才想跟中共統一吧
44,sd810305,來C你在高雄買房子沒? 韓市長都當選超過一年了
45,jack0216,好吧我政黨票改投民進黨
46,takuminauki,在幫忙拉票嗎XDD
47,tavern,這在助選吧
48,upeo,靈犬來吸噁心 最愛賣芒果乾的族群
49,aph860212,OK只好投了
50,HaHaPoint,希哥是對的 XD
51,squall410339,那當然投民進黨啊白癡
52,ohya111326,那只能支持了XDD
53,stocktonty,柯粉:不可能啦!騙票啦!
54,southes,很好
55,zzs123344,不錯欸來西想篡位台獨教父？
56,wendyayu,助選？？
57,LAPDSWAT456,感謝信心加持
58,elainakuo,感謝 希望我死前能看到
59,nightyao,要台獨就支持賴清啊！本來是就選跟自己理念相近的候選人了
60,oscarwu3041,若國民黨繼續執政，終有一天台灣會被統一
61,min66810,好喔，那就繼續支持
62,Fyaoyao,超棒的
63,apple123773,這麼好?
64,hankiwi,想搶台獨教父的名號嗎哈哈
65,g9122xj,那國民黨執政呢？民進黨應該超希望來吸、吳思懷天天公開炮他們的吧
66,brand1029,不獨立，要桶別人？
67,iamsocool,所以終有一天是多久？
68,cg7123456,太棒了
69,rrblue,好啊
70,americ,看有沒有截圖領1萬囉
71,nnkj,新來的菜鳥你好
72,nnkj,不是看登入次數 你如果有常來政黑就不會回文
73,nnkj,本板有四天王 T k a o n
74,paladin90974,因為是挺綠不是挺柯啊 傻傻的
75,paladin90974,你可以想一下有藍軍不投韓的原因這些知識藍很綠對不對? 都不投韓到底是姚太爛 為了拉下丁 還是挺柯?一堆人投英 是因為挺綠?票投給你就是挺你 這想法有夠直
76,quisk,2014、15我是柯黑。剛好相反哈哈
77,andy02,你知道你回ㄧ個反串的文嗎？
78,negatron,每隻都只會說我反串，卻說不出哪裡反串
79,negatron,本板不歡迎自介 A_A
80,negatron,說我反串的沒一個說出我哪裡反串
81,eterbless,那些人哪邊不幫姚 一堆在喊寧可讓丁上
82,cutbear123,2014限定柯粉在此 2015就脫粉 2018轉黑
83,a1223356,網軍=事實。楊買網軍=事實。網軍挺綠=事實。網軍領一萬=事實。以上破解。
84,a1223356,也有人投柯也投蔡啊，你什麼時候當剩下的九人代表了？你誰？
85,james114,你就沒辦法反駁dpp買網軍的事實阿，在那邊543
86,didder,網軍真凶
87,yamitis,無聊到回個反串的？
88,eyeter,我就是前78柯粉 五年資歷
89,diyaworld,今年柯粉轉柯黑+1，柯糞吃屎啦
90,bom30433,補血  同感 柯糞吃屎
91,jing0607,不錯，這篇是我要的，我正統柯憤辣，我來告訴妳，民眾黨不是藍的，也不是小黨，是第三勢力新興政黨，準備取代國民黨成為第一反對黨，在野黨有好法案會支持，包含國民黨，國民黨候選人也是可能支持的，民進洞的候選人是領先者，當然不用我柯支持，所以，企圖將我柯劃成藍的，尤其把柯與韓劃一起，最符合民進洞利益，另外一面發動滅時力，一面利用我昌來訴說投時力比民眾好，其用心歹毒，昭然若揭，時力與民眾通通弱化成不到5趴小黨，然候誰得利受益？是老英底下搞錢搞利益的，老英豈能不知？可這是結構性問題，綜上，請大家支持我柯，我台灣郎不用忍受台面上政客的假貨愚民政黨，我柯民眾黨壯大後，四年候當選總統，將這一干貪官污吏通通送進牢房，豈不快哉？
92,Oisiossos,https://i.imgur.com/W1EH4tc.jpghttps://i.imgur.com/GaG4YLf.jpg領九萬去年之前也是挺時力的啊XDhttps://i.imgur.com/5CYfxTk.jpg
93,lf719000, https://i.imgur.com/4lSL5NK.jpg
94,njnjy,KMT選情看有沒有去站路口就知道了費鴻泰最近狂做薑餅屋 跑馬拉松以前根本躺著選
95,njnjy,這大嬸根本是紅統派
96,njnjy,江啟臣上次差點被幹掉
97,njnjy,國民黨也在喊總統會贏啊 人家立委不能喊?民心熱呼呼 內部只差3% 黃金交叉惹
98,indium111,沈智慧那區? 不可能吧，這裡翻車國民黨台中全滅這區是沈智慧躺著選的
99,crazypeo45,有趣了
100,crazypeo45,這區看起來也不會是關鍵少數作亂啊
101,crazypeo45,幹 民眾黨又出了一個背刺仔
102,crazypeo45,補選比基本盤啊 大選還有中間選民因素
103,madeofhonor,很難
104,phHAR,這區難啦 不過這次派的這位屌打王e///
105,lepidoptera,難啦 看輸多輸少而已
106,apple00,舔共照投啦 翻轉個屁
107,dy2012,莊的學經歷狂說沒智慧吧
108,leon771170,難說喔 之前這是黑燕長期經營的 沉智慧又沒打底過而且舔韓屎尿舔那麼厲害 不知選票如何
