id,len1,len2,len3,len4,len5,len6,len7,len8,len9,len10,len11,len12,len13,len14,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14
wowpoqwow,2,5,0,3,0,3,0,1,0,1,0,0,1,0,"['371555', '395884']","['188040', '189595', '216279', '352459', '387323']",[],"['198690', '200448', '248458']",[],"['287184', '370465', '377106']",[],['147581'],[],['244043'],[],[],['170227'],[]
terry1020,2,0,0,0,0,0,0,0,0,4,3,1,2,0,"['365488', '408180']",[],[],[],[],[],[],[],[],"['12782', '20037', '59533', '200932']","['340108', '365488', '408180']",['340108'],"['37785', '205921']",[]
nimaj,2,0,0,0,0,0,0,0,0,0,0,0,1,0,"['40497', '118346']",[],[],[],[],[],[],[],[],[],[],[],['150858'],[]
lunRUSSELL,1,3,2,14,0,0,0,2,0,1,0,3,2,0,['189708'],"['149333', '227564', '329454']","['398608', '418739']","['119794', '119836', '195418', '197235', '248054', '265528', '325102', '342116', '355972', '398324', '403903', '403950', '404527', '415922']",[],[],[],"['113131', '306011']",[],['303227'],[],"['227564', '233573', '248009']","['254633', '401384']",[]
berryc,1,2,0,71,0,0,0,4,0,3,0,0,0,0,['155871'],"['194000', '398025']",[],"['21136', '21715', '21923', '31838', '32428', '32453', '42908', '56483', '68613', '70084', '107745', '157819', '164492', '191081', '191270', '194000', '233505', '233837', '243243', '265710', '270733', '270984', '288320', '290400', '292179', '316993', '317714', '324866', '329713', '341996', '342121', '342414', '343742', '346432', '349993', '350234', '350379', '357103', '358959', '358980', '359046', '370691', '371943', '372169', '375900', '377394', '378359', '378818', '386132', '390437', '390443', '390989', '397215', '400871', '400938', '401269', '401497', '401861', '404595', '406831', '412478', '414334', '415256', '416878', '417368', '417383', '417787', '419283', '419427', '419520', '420828']",[],[],[],"['220787', '296265', '298801', '348622']",[],"['32271', '202859', '373313']",[],[],[],[]
CCNK,1,0,0,1,0,0,0,2,1,3,0,0,4,0,['105259'],[],[],['332473'],[],[],[],"['77168', '140100']",['105259'],"['105026', '215902', '397029']",[],[],"['19418', '22845', '52794', '151180']",[]
marunouchi,1,1,0,12,0,0,0,3,0,1,0,0,0,0,['373668'],['389403'],[],"['7047', '36424', '88870', '108394', '121521', '172326', '204442', '214622', '367719', '400561', '414714', '416846']",[],[],[],"['88222', '222016', '387066']",[],['57051'],[],[],[],[]
CavendishJr,1,2,0,7,0,1,0,0,0,1,1,1,1,0,['160462'],"['95177', '159715']",[],"['95177', '96822', '139802', '140398', '203965', '220881', '325834']",[],['277516'],[],[],[],['142682'],['113252'],['113252'],['183095'],[]
miler22020,1,21,0,8,1,0,0,2,0,3,0,4,0,0,['205762'],"['44600', '58472', '61015', '75380', '86800', '94991', '104330', '109172', '153737', '161749', '175426', '191234', '203060', '225136', '272328', '283236', '326811', '341515', '355741', '369908', '374647']",[],"['86799', '134406', '137009', '199295', '233527', '312020', '319520', '341864']",['116741'],[],[],"['119952', '190488']",[],"['174675', '187365', '348248']",[],"['98852', '175280', '284406', '353823']",[],[]
wwHui,1,5,0,8,0,0,0,4,0,0,0,1,0,0,['369221'],"['123024', '225751', '251167', '371596', '402175']",[],"['84681', '149083', '245194', '247825', '301958', '324651', '368271', '369833']",[],[],[],"['221925', '246820', '306005', '368313']",[],[],[],['124006'],[],[]
